NOM LIEN;NOM;Sexe;Profession;Anniversaire;Âge;Nationalité;Zodiaque;Lieu de naissance;Centimètre;Kilogramme;Couleur des yeux;Couleur des cheveux;Décès;Particularité 1;Particularité 2;Particularité 3
miley-cyrus;Miley Cyrus;F;Actrice, Chanteur/euse, Auteur-compositeur;23/11/1992;31;Américaine;Sagittaire;États-Unis;165;49;Bleu;Noirs;–;actrice principale de la série Hannah Montana;autrice de la chanson Flowers;autrice de la chanson Wreckin ball
natalie-portman;Natalie Portman;F;Actrice;09/06/1981;42;Israélienne/Américaine;Gémeaux;Israël;161;49;Brun clair;Châtain;–;a joué à 12 ans dans le film Léon de Luc Besson;obtient le Golden Globe de la meilleure actrice dans un second rôle en 2005;a joué dans Black Swan
camila-cabello;Camila Cabello;F;Chanteuse;03/03/1997;27;Cubaine/Américaine/Mexicaine;Poissons;Cuba;158;50;Brun foncé;Brun foncé;–;ancienne membre du groupe Fifth Harmony;en couple avec Shawn Mendes de 2019 & 2021;interprète de la chanson Havana
emilia-clarke;Emilia Clarke;F;Actrice;23/10/1986;37;Britannique;Scorpion;Angleterre;158;51;Verts;Brun foncé;–;joue Rhaenyra Daenerys Targaryen - Game of Thrones;joue Sarah Connor - Terminator Genisys;joue Qi'Ra - Solo: A Star Wars Story
jennifer-aniston;Jennifer Aniston;F;Actrice;11/02/1969;55;Américaine;Verseau;États-Unis;163;52;Bleu;Brun;–;joue  Rachel Green - Friends;joue Alex Levy - The Morning Show;joue Grace Connelly - Bruce tout-puissant 
emma-watson;Emma Watson;F;Actrice, Mannequin;15/04/1990;33;Britannique;Bélier;France;166;52;Brun clair;Châtain;–;joue Hermione Granger - Harry Potter;la plus jeune personne à apparaître sur la couverture du magazine Teen Vogue;nommée ambassadrice de bonne volonté par l'ONU Femmes en juillet 2014
megan-fox;Megan Fox;F;Actrice, Mannequin;16/05/1986;37;Américaine;Taureau;États-Unis;162;52;Bleu;Brun foncé;–;joue  April O'Neil  - Ninja Turtles;joue Mikaela Banes - Transformers;en couple avec Machine Gun Kelly
daniel-radcliffe;Daniel Radcliffe;M;Acteur;23/07/1989;34;Britannique;Lion;Angleterre;167;52;Bleu;Brun foncé;–;acteur principal de la saga Harry Potter;joue Allen Ginsberg - Kill Your Darlings,;fait publier quatre textes dans le magazine Rubbish en 2007 sous le nom de plume Jacob Gershon
kate-beckinsale;Kate Beckinsale;F;Actrice, Mannequin;26/07/1973;50;Britannique/Américaine;Lion;Angleterre;171;53;Noisette;Châtain;–;joue Johanna - Liaisons à New York ;joue Dana Barrow - La Chambre des oubliés;joue Christiana Dior - Fool's Paradise 
mila-kunis;Mila Kunis;F;Actrice;14/08/1983;40;Américaine;Lion;Ukraine;163;53;Verts, bleu;Brun foncé;–;joue Jupiter Jones - Jupiter : Le Destin de l'univers;joue Lori Collins - Ted;joue Solara - Le Livre d'Eli
selena-gomez;Selena Gomez;F;Actrice, chanteuse;22/07/1992;31;Américaine;Cancer;États-Unis;164;53;Brun foncé;Noirs;–;joue Alexx Russo - Les Sorciers de Waverly Place;quatrième personnalité la plus suivie au monde sur ces réseaux;interprète Taki Taki avec Ozuna
angelina-jolie;Angelina Jolie;F;Actrice, Ecrivain;04/06/1975;48;Américaine/Cambodgienne;Gémeaux;États-Unis;168;53;Gris;Brun foncé;–;a reçu trois Golden Globes, deux Screen Actors Guild Awards et un Oscar du cinéma.;Divorcée des acteurs Jonny Lee Miller, Billy Bob Thornton et Brad Pitt;Actrice principale de Lara Croft : Tomb Raider
salma-hayek;Salma Hayek;F;Actrice, Producteur;02/09/1966;57;Mexicaine/Américaine/Libanaise;Vierge;Mexique;158;53;Brun foncé;Noirs;–;épouse François - Henri Pinault à la mairie du 6e arrondissement de Paris;joue Rita Escobar - Wild Wild West;joue Sonia Kincaid - Hitman and Bodyguard
marilyn-monroe;Marilyn Monroe;F;Actrice, Chanteur/euse, Mannequin;01/06/2026;36;Américaine;Gémeaux;États-Unis;167;53;Bleu;Blonds;05/08/1962;"icône portant sa ""subway dress"" dans Sept ans de réfléxion";reçoit le Golden Globe de la meilleure actrice dans une comédie en 1960;connaîtra  des mariages ratés avec Joe DiMaggio et  Arthur Miller.
shakira;Shakira;F;Chanteuse, autrice-compositrice;02/02/1977;47;Colombienne;Verseau;Colombie;156;54;Brun foncé;Noirs;–;autrice du titre Whenever, Wherever;nterprète Waka Waka (This Time for Africa) en 2010;a vécu 12 ans avec Gérard Piqué
lady-gaga;Lady Gaga;F;Chanteuse, autrice-compositrice;28/03/1986;37;Américaine;Bélier;États-Unis;156;54;Noisette;Brun;–;se fait connaitre avec son premier album, The Fame (2008);joue Ally Campana - A Star is Born;est la marraine des deux fils d'Elton John et David Furnish
charlize-theron;Charlize Theron;F;Actrice, Producteur;07/08/1975;48;Sud-Africaine/Américaine;Lion;Afrique du Sud;176;54;Verts;Brun;–;joue Mary Embrey - Hancock;joue Cipher - Fast and Furious 10;joue Impératrice Furiosa - Mad Max: Fury Road
kate-middleton;Kate Middleton;F;Royauté;09/01/1982;42;Britannique;Capricorne;Angleterre;176;54;Verts;Brun foncé;–;devient membre de la famille royale britannique le 29 avril 2011;porte le titre de duchesse de Cambridge;épouse de William, prince de Galles
keira-knightley;Keira Knightley;F;Actrice;26/03/1985;38;Britannique;Bélier;Angleterre;169;55;Brun foncé;Brun foncé;–;premier rôle féminin de Pirates des Caraïbes : La Malédiction du Black Pearl;joue Nell - Silent Hill;joue La Fée Dragée - Casse-Noisette et les Quatre Royaumes
emily-ratajkowski;Emily Ratajkowski;F;Mannequin;07/06/1991;32;Américaine;Gémeaux;Angleterre;172;55;Brun foncé;Brun foncé;–;apparait dans deux clips : Blurred Lines et Love Somebody;crée une marque de maillots de bain et de sous - vêtements nommée Inamorata en 2017;collabore avec The Kooples avec qui elle crée une ligne de sac à main.
madonna;Madonna;F;Chanteur/euse, Auteur-compositeur;16/08/1958;65;Américaine;Lion;États-Unis;165;55;Verts;Brun foncé;–;signe chez Sire Records en 1982 et sort son premier album l'année suivante;la chanteuse ayant vendu le plus de disques de tous les temps;autrice des single Holiday, Like a Virgin et Into the Groove
billie-eilish;Billie Eilish;F;Chanteuse, autrice-compositrice;18/12/2001;22;Américaine;Sagittaire;États-Unis;161;56;Bleu;Blonds;–;sort un premier single, Ocean Eyes, en mars 2016;crée sa marque de vêtements, Blohsh e, mars 2018;autrice du titre Bad Guy
scarlett-johansson;Scarlett Johansson;F;Actrice, chanteuse;22/11/1984;39;Américaine/Danoise;Sagittaire;États-Unis;160;56;Verts;Brun;–;joue Natasha Romanoff - Black Widow;joue Rebecca - Ghost World;interpréte Janet Leigh dans le biopic Hitchcock
nina-dobrev;Nina Dobrev;F;Mannequin;09/01/1989;35;Bulgaro/Canadienne;Capricorne;Bulgarie;169;56;Brun foncé;Brun foncé;–;joue Elena Gilbert - The Vampire Diaries;en couple avec Shaun White;joue Candace Kelmeckis -  Le Monde de Charlie
margot-robbie;Margot Robbie;F;Actrice;02/07/1990;33;Australienne;Cancer;Australie;169;56;Bleu;Blonds;–;joue dans Le Loup de Wall Street aux côtés de Leonardo DiCaprio;joue Harley Quinn - Birds of Prey;joue Sharon Tate - Once Upon a Time... in Hollywood
ariel-winter;Ariel Winter;F;Actrice;28/01/1998;26;Américaine;Verseau;États-Unis;155;56;Brun foncé;Blonds;–;jour Alex Dunphy - Modern Family;voix originale de Princesse Sofia;a remporté quatre Screen Actors Guild Award et un Gold Derby Awards
anne-hathaway;Anne Hathaway;F;Actrice, chanteuse;12/11/1982;41;Américaine;Scorpion;États-Unis;172;57;Brun foncé;Brun foncé;–;joue Andrea Sachs - Le diable s'habille en Prada;joue Fantine - Les Misérables;joue Daphne Kluger - Ocean's 8
